#DDB;#CAS;NAME_DDB;NAME_UD;disp. e/kB [K];Mainclass
1352;7782-39-0;Deuterium;;;
1358;2696-92-6;Nitrosylchloride;;;
1365;1484-87-3;3,3,5-Trimethyl-n-hexanol;;;
1366;122-97-4;3-Phenyl-1-propanol;3-PHENYL-1-PROPANOL;106.0784545;Alcohol
1367;105-46-4;sec-Butyl acetate;SEC-BUTYL_ACETATE;97.5675;Ester
1368;122-79-2;Acetic acid phenyl ester;Acetic_acid_phenyl_ester;102.25208;Acids
1372;542-58-5;2-Chloroethyl acetate;;;
1379;105-39-5;Chloroacetic acid ethyl ester;ETHYLCHLOROACETATE;93.34125714;no_class_defined_in_mainclasses.txt
1381;293-96-9;Cyclodecane;;;
1384;95-46-5;2-Bromotoluene;;;
1394;111-15-9;Ethylene glycol monoethyl ether acetate;2-ETHOXYETHYL_ACETATE;97.35093333;no_class_defined_in_mainclasses.txt
1395;39734-93-5;4-Methyl-4-hydroxyethyl-1,3-dioxane;4-Methyl-4-hydroxyethyl-1,3-dioxane;101.4653636;Other
1399;1120-36-1;1-Tetradecene;1-TETRADECENE;115.9541143;Alkene
1400;112-37-8;Undecanoic acid;N-UNDECANOIC_ACID;98.45708571;Acids
1401;126-30-7;2,2-Dimethyl-1,3-propanediol;NEOPENTYL_GLYCOL;89.82707778;Alcohol
1402;1921-70-6;2,6,10,14-Tetramethylpentadecane;;;
1403;583-53-9;o-Dibromobenzene;;;
1404;108-36-1;m-Dibromobenzene;M-DIBROMOBENZENE;;Aromatics
1409;637-92-3;Ethyl tert-butyl ether (ETBE);TERT-BUTYL_ETHYL_ETHER;112.8331714;Ether
1413;353-36-6;Fluoroethane [R161];ETHYL_FLUORIDE;94.7788;HalogenatedHydrocarbon
1414;3132-64-7;Epibromohydrin;;;
1415;95-16-9;Benzothiazole;BENZOTHIAZOLE;;no_class_defined_in_mainclasses.txt
1416;628-90-0;Dimethylene glycol dimethyl ether;;;
1418;75-68-3;1-Chloro-1,1-difluoroethane [R142b];1-CHLORO-1,1-DIFLUOROETHANE;88.30432;HalogenatedHydrocarbon
1419;124-22-1;Dodecylamine;N-DODECYLAMINE;112.4173;Amine
1420;14762-55-1;Helium-3;;;
1422;10544-72-6;Dinitrogen tetroxide;NITROGEN_TETROXIDE;20.839;otherNitrogenCompounds
1426;103-50-4;Dibenzyl ether;DIBENZYL_ETHER;115.7735333;Ether
1435;682-01-9;Propyl silicate;;;
1439;629-04-9;1-Bromoheptane;1-BROMOHEPTANE;;HalogenatedHydrocarbon
1440;593-53-3;Methyl fluoride [R41];METHYL_FLUORIDE;84.31705;HalogenatedHydrocarbon
1450;25414-22-6;2-Methoxyfuran;;;
1465;108-29-2;Tetrahydro-5-methyl-2-furanone;GAMMA-VALEROLACTONE;94.97681429;Ester
1466;298-07-7;Bis(2-ethylhexyl) phosphate;;;
1478;20721-78-2;N-Methyl-3-morpholinone;;;
1479;19836-78-3;N-Methyl-2-oxazolidinone;;;
1481;3672-60-4;N-Acetyloxazolidine;;;
1491;335-99-9;1,1,7-Trihydroperfluoro-1-heptanol;;;
1492;355-80-6;1,1,5-Trihydroperfluoro-1-pentanol;;;
1500;622-97-9;p-Methyl-styrene;P-METHYLSTYRENE;117.2691444;Alkene
1501;611-14-3;1-Ethyl-2-methylbenzene;O-ETHYLTOLUENE;116.8774333;Alkane
1503;622-96-8;1-Ethyl-4-methylbenzene;P-ETHYLTOLUENE;116.8774333;Alkane
1512;141-93-5;1,3-Diethylbenzene;M-DIETHYLBENZENE;116.75992;Alkane
1513;105-05-5;1,4-Diethylbenzene;P-DIETHYLBENZENE;116.75992;Alkane
1514;527-84-4;2-Isopropyltoluene;O-CYMENE;116.75992;Alkane
1515;535-77-3;3-Isopropyltoluene;M-CYMENE;116.75992;Alkane
1528;573-98-8;1,2-Dimethyl naphthalene;1,2-Dimethyl_naphthalene;117.1712167;Other
1531;575-37-1;1,7-Dimethyl naphthalene;;;
1532;581-40-8;2,3-Dimethyl naphthalene;;;
1533;581-42-0;2,6-Dimethyl naphthalene;2,6-DIMETHYLNAPHTHALENE;117.1712167;Alkane
1535;939-27-5;2-Ethyl naphthalene;2-ETHYLNAPHTHALENE;117.1712167;Alkane
1538;591-47-9;4-Methylcyclohexene;;;
1540;2207-03-6;trans-1,3-Dimethyl cyclohexane;TRANS-1,3-DIMETHYLCYCLOHEXANE;115.7023;Alkane
1542;624-29-3;cis-1,4-Dimethyl cyclohexane;CIS-1,4-DIMETHYLCYCLOHEXANE;115.7023;Alkane
1547;583-61-9;2,3-Dimethylpyridine;;;
1548;589-93-5;2,5-Dimethylpyridine;;;
1549;536-78-7;3-Ethylpyridine;3-Ethylpyridine;112.91955;Other
1550;536-75-4;4-Ethylpyridine;;;
1551;620-22-4;m-Toluonitrile <m-Cyanotoluene>;;;
1552;104-85-8;p-Toluonitrile <p-Cyanotoluene>;;;
1553;87-59-2;2,3-Dimethylaniline;;;
1554;108-69-0;3,5-Dimethylaniline;;;
1555;589-16-2;4-Ethyl aniline;;;
1556;776-35-2;9,10-Dihydrophenanthrene;;;
1560;1198-37-4;2,4-Dimethyl quinoline;;;
1562;110-87-2;2,3-Dihydro-4H-pyran;;;
1563;123-07-9;4-Ethylphenol;P-ETHYLPHENOL;105.11607;Aromatics
1564;90-00-6;2-Ethylphenol;O-ETHYLPHENOL;105.11607;Aromatics
1567;554-14-3;2-Methyl thiophene;2-METHYLTHIOPHENE;;no_class_defined_in_mainclasses.txt
1568;616-44-4;3-Methyl thiophene;3-METHYLTHIOPHENE;;no_class_defined_in_mainclasses.txt
1573;108-98-5;Benzenethiol;PHENYL_MERCAPTAN;;Thiol
1585;99-62-7;1,3-Diisopropylbenzene;M-DIISOPROPYLBENZENE;116.58365;Alkane
1594;129-00-0;Pyrene;PYRENE;117.465;Aromatics
1599;84-15-1;o-Terphenyl;O-TERPHENYL;117.465;Alkane
1602;50-32-8;Benzo[a]pyrene;;;
1605;6876-23-9;trans-1,2-Dimethylcyclohexane;TRANS-1,2-DIMETHYLCYCLOHEXANE;115.7023;Alkane
1623;109-08-0;2-Methyl pyrazine;2-Methyl_pyrazine;107.8308429;Other
1624;625-84-3;2,5-Dimethyl pyrrole;;;
1625;102-76-1;1,2,3-Propanetriol-triacetate;GLYCERYL_TRIACETATE;86.68662;Ester
1626;529-19-1;o-Tolunitrile;;;
1627;120-72-9;Indole;INDOLE;109.6381;Aromatics
1631;95-78-3;2,5-Dimethylaniline;;;
1632;87-62-7;2,6-Dimethylaniline;;;
1633;578-54-1;2-Ethylaniline;O-ETHYLANILINE;112.1842273;Amine
1636;635-46-1;1,2,3,4-Tetrahydroquinoline;;;
1637;611-32-5;8-Methylquinoline;;;
1638;134-32-7;1-Aminonaphthalene;1-Naphthylamine;113.2678385;Amine
1641;260-94-6;Acridine;ACRIDINE;115.1194143;Aromatics
1642;123-31-9;1,4-Dihydroxybenzene;P-HYDROQUINONE;93.47222;Aromatics
1643;620-17-7;3-Ethylphenol;M-ETHYLPHENOL;105.11607;Aromatics
1644;60-12-8;2-Phenylethanol;2-PHENYLETHANOL;105.11607;Alcohol
1645;87-66-1;1,2,3-Trihydroxybenzene;1,2,3-BENZENETRIOL;87.474025;Aromatics
1648;644-35-9;2-Propylphenol;;;
1661;698-71-5;3-Ethyl-5-methyl phenol;;;
1662;697-82-5;2,3,5-Trimethylphenol;;;
1666;139-66-2;Phenylsulfide;;;
1670;1470-94-6;2,3-Dihydro-1H-inden-5-ol;;;
1676;1708-29-8;2,5-Dihydrofuran;2,5-DIHYDROFURAN;112.3906;no_class_defined_in_mainclasses.txt
1678;132-65-0;Dibenzothiophene;DIBENZOTHIOPHENE;;no_class_defined_in_mainclasses.txt
1706;109-77-3;Malonic acid dinitrile;MALONONITRILE;93.43294;(Iso)Nitril
1709;105-58-8;Carbonic acid diethyl ester;DIETHYL_CARBONATE;95.0570125;Carbonate
1711;131-11-3;Phthalic acid dimethyl ester;DIMETHYL_PHTHALATE;95.73225714;Ester
1713;96-49-1;Ethylene carbonate;ETHYLENE_CARBONATE;88.17525;Carbonate
1715;3741-38-6;Ethylene sulfite <Glycol sulfite>;;;
1716;107-14-2;Monochloroacetonitrile;;;
1721;93-55-0;Ethyl phenyl ketone;Ethyl_phenyl_ketone;104.26047;Carbonyl
1723;104-92-7;4-Bromoanisole;;;
1726;111-20-6;Decanedioic acid;SEBACIC_ACID;85.523175;Acids
1732;96-23-1;1,3-Dichloro-2-propanol;1,3-Dichloro-2-propanol;95.79711429;Alcohol
1733;632-22-4;1,1,3,3-Tetramethyl urea;1,1,3,3-Tetramethyl_urea;75.0249375;Other
1738;131-16-8;Phthalic acid dipropyl ester;DI-N-PROPYL_PHTHALATE;100.1700444;Ester
1739;84-69-5;Phthalic acid diisobutyl ester;DIISOBUTYL_PHTHALATE;101.72327;Ester
1750;111-02-4;Squalene;;;
1754;106-65-0;Dimethyl succinate;;;
1755;99-35-4;1,3,5-Trinitrobenzene;1,3,5-TRINITROBENZENE;45.66206;otherNitrogenCompounds
1757;624-48-6;Dimethylmaleate;DIMETHYL_MALEATE;87.03916;Ester
1759;623-91-6;Diethyl fumarate;;;
1762;106-32-1;Octanoic acid ethyl ester;ETHYL-OCTANOATE;103.6124333;Ester
1764;112-24-3;Triethylenetetramine;TRIETHYLENETETRAMINE;100.199975;Amine
1769;124-48-1;Dibromochloromethane [R20B2];;;
1777;542-76-7;beta-Chloropropionitrile;;;
1780;1120-71-4;1,3-Propanesultone;1,3-Propanesultone;;Carbonyl
1793;90-11-9;1-Bromonaphthalene;1-BROMONAPHTHALENE;;Aromatics
1810;2244-16-8;(S)-(+)-Carvone;;;
1814;1330-78-5;Tricresyl phosphate <Mixture of o,m,p Isomers>;Tricresyl_phosphate;;Other
1816;605-45-8;Phthalic acid diisopropyl ester;;;
1817;131-17-9;Phthalic acid diallyl ester;;;
1833;100-45-8;4-Cyanocyclohexene;;;
1839;929-06-6;Diglycolamine (DGA);2-AMINOETHOXYETHANOL;97.12256;no_classes_defined_in_substances.txt
1840;141-03-7;Dibutyl succinate;;;
1859;109-76-2;1,3-Diaminopropane;1,3-PROPANEDIAMINE;104.7523;Amine
1862;26761-40-0;Diisodecylphthalate;;;
1874;616-24-0;1-Ethylpropylamine;;;
1877;104-72-3;1-Phenyldecane;N-DECYLBENZENE;116.3633125;Alkane
1878;123-01-3;1-Phenyldodecane;N-DODECYLBENZENE;116.2898667;Alkane
1879;1459-10-5;1-Phenyltetradecane;N-TETRADECYLBENZENE;116.23111;Alkane
1880;2131-18-2;1-Phenylpentadecane;N-PENTADECYLBENZENE;116.2059286;Alkane
1882;131-18-0;Di-n-amylphthalate;;;
1883;105-76-0;Di-n-butylmaleate;DIBUTYL_MALEATE;97.7878375;Ester
1887;2591-86-8;N-Formylpiperidine;;;
1894;111-16-0;Heptanedioic acid;PIMELIC_ACID;78.55876154;Acids
1895;108-59-8;Dimethyl malonate;;;
1896;694-80-4;2-Chlorobromobenzene;;;
1899;103-49-1;Dibenzylamine;;;
1905;589-55-9;4-Heptanol;;;
1906;589-82-2;3-Heptanol;;;
1907;543-49-7;2-Heptanol;2-HEPTANOL;102.7646889;Alcohol
1910;629-06-1;1-Chloroheptane;;;
1912;544-10-5;1-Chlorohexane;1-CHLOROHEXANE;114.0667429;HalogenatedHydrocarbon
1914;375-96-2;Perfluorononane;;;
1915;760-20-3;3-Methyl-1-pentene;3-METHYL-1-PENTENE;116.2898667;Alkene
1917;1678-93-9;n-Butylcyclohexane;N-BUTYLCYCLOHEXANE;115.7023;Alkane
1922;872-55-9;2-Ethylthiophene;2-Ethylthiophene;;Thiol
1931;75-27-4;Bromodichloromethane [R20B1];;;
1932;106-39-8;4-Chlorobromobenzene;;;
1933;108-37-2;3-Chlorobromobenzene;;;
1934;109-79-5;n-Butylmercaptan;N-BUTYL_MERCAPTAN;;Thiol
1936;513-53-1;sec-Butylmercaptan;SEC-BUTYL_MERCAPTAN;;Thiol
1937;75-30-9;2-Iodopropane;ISOPROPYL_IODIDE;;HalogenatedHydrocarbon
1938;536-74-3;Phenylacetylene;ETHYNYLBENZENE;104.616025;Alkyne
1947;121-14-2;2,4-Dinitrotoluene;2,4-DINITROTOLUENE;62.09637692;otherNitrogenCompounds
1948;97-00-7;2,4-Dinitrochlorobenzene;1-CHLORO-2,4-DINITROBENZENE;61.21569231;no_class_defined_in_mainclasses.txt
1951;118-96-7;2,4,6-Trinitrotoluene;2,4,6-TRINITROTOLUENE;50.039575;otherNitrogenCompounds
1952;103-33-3;Azobenzene;;;
1953;104-94-9;p-Anisidine;;;
1968;504-29-0;2-Aminopyridine;2-AMINOPYRIDINE;107.7537444;no_class_defined_in_mainclasses.txt
1990;2556-73-2;N-Methylcaprolactam;N-Methylcaprolactam;90.67933333;Alcohol
1995;646-04-8;trans-2-Pentene;TRANS-2-PENTENE;116.40738;Alkene
2002;26637-68-3;Perfluorodimethylcyclohexane <Isomer not spec.>;;;
2013;111-31-9;Hexylmercaptan;N-HEXYL_MERCAPTAN;;Thiol
2017;3452-97-9;3,5,5-Trimethyl-1-hexanol;;;
2018;7446-11-9;Sulfur trioxide;Sulfur_trioxide;;Thiol
2023;638-49-3;Amyl formate;N-PENTYL_FORMATE;97.5675;Ester
2024;112-32-3;Formic acid octyl ester;N-OCTYL_FORMATE;102.5133545;Ester
2025;112-73-2;Diethylene glycol dibutyl ether;DIETHYLENE_GLYCOL_DI-N-BUTYL_ETHER;111.68552;Ether
2036;96-09-3;1,2-Epoxyethylbenzene;;;
2044;20441-64-9;Oxalic acid,didecyl ester;;;
2046;100-64-1;Cyclohexanone oxime;CYCLOHEXANONE_OXIME;99.50771111;otherNitrogenCompounds
2047;1653-30-1;2-Undecanol;;;
2068;7637-07-2;Boron trifluoride;;;
2069;10028-15-6;Ozone;;;
2077;111-68-2;Heptylamine;N-HEPTYLAMINE;110.7748;Amine
2087;33577-16-1;Methyl methylthiomethylsulfoxide;;;
2090;107-40-4;2,4,4-Trimethyl-2-pentene;2,4,4-TRIMETHYL-2-PENTENE;116.142975;Alkene
2092;13536-94-2;Deuterium sulfide;;;
2100;112-31-2;n-Decanal;DECANAL;104.3391636;Carbonyl
2101;374-07-2;1,1-Dichloro tetrafluoro ethane [R114a];1,1-DICHLOROTETRAFLUOROETHANE;81.454825;HalogenatedHydrocarbon
2102;107-08-4;1-Iodopropane;N-PROPYL_IODIDE;;HalogenatedHydrocarbon
2103;542-69-8;1-Iodobutane;N-BUTYL_IODIDE;;HalogenatedHydrocarbon
2105;4282-40-0;1-Iodoheptane;;;
2109;1731-84-6;Nonanoic acid methyl ester;;;
2125;78-70-6;Linalool (racemic mixture);Linalool;106.5866583;Alcohol
2126;106-25-2;cis-3,7-Dimethyl-2,6-octadien-1-ol;;;
2128;106-22-9;Citronellol;;;
2130;106-23-0;3,7-Dimethyl-6-octenal;;;
2131;106-24-1;trans-3,7-Dimethyl-2,6-octadien-1-ol;;;
2132;115-95-7;3,7-Dimethyl-1,6-octadien-3-ol-acetate;;;
2134;547-63-7;2-Methylpropanoic acid methyl ester;METHYL_ISOBUTYRATE;94.97681429;Ester
2139;78-46-6;Butanephosphonic acid,dibutyl ester;;;
2165;122-78-1;Phenylacetaldehyde;;;
2166;104-53-0;Benzylacetaldehyde;;;
2179;617-94-7;2-Phenyl-2-propanol;2-PHENYL-2-PROPANOL;106.0784545;Alcohol
2182;423-55-2;Perfluorooctyl bromide;;;
2185;123-66-0;Hexanoic acid ethyl ester;ETHYL-HEXANOATE;101.19446;Ester
2186;110-97-4;Diisopropanolamine (DIPA);DIISOPROPANOLAMINE;90.06725;no_class_defined_in_mainclasses.txt
2187;105-59-9;Methyldiethanolamine (MDEA);METHYL_DIETHANOLAMINE;82.39338;no_class_defined_in_mainclasses.txt
2188;122-96-3;N,N'-Bis(2-hydroxyethyl)-piperazine;;;
2190;80-73-9;1,3-Dimethylimidazolidin-2-one;1,3-Dimethylimidazolidin-2-one;75.0249375;Alcohol
2201;57-13-6;Urea;Urea;87.7592375;Other
2211;1000-63-1;Butyl tert-butyl ether;Butyl_tert-butyl_ether;113.4707556;Ether
2215;593-70-4;Chlorofluoromethane [R31];CHLOROFLUOROMETHANE;90.9625;HalogenatedHydrocarbon
2218;6742-54-7;1-Phenylundecane;N-UNDECYLBENZENE;116.3244294;Alkane
2232;556-82-1;3-Methyl-2-buten-1-ol;3-Methyl-2-buten-1-ol;99.57185714;Alcohol
2235;107-98-2;1-Methoxy-2-propanol;PROPYLENE_GLYCOL_MONOMETHYL_ETHER;96.1991;no_class_defined_in_mainclasses.txt
2241;91-16-7;1,2-Dimethoxybenzene;1,2-Dimethoxybenzene;112.74314;Aromatics
2242;143-24-8;Tetraethylene glycol dimethyl ether;TETRAETHYLENE_GLYCOL_DIMETHYL_ETHER;109.0076667;Ether
2245;7664-38-2;Phosphoric acid;PHOSPHORIC_ACID;;no_classes_defined_in_substances.txt
2247;10038-98-9;Tetrachlorogermane;;;
2248;638-53-9;Tridecanoic acid;N-TRIDECANOIC_ACID;100.6127375;Acids
2258;127-17-3;Pyruvic acid [2-oxo-Propionic acid];PYRUVIC_ACID;63.35551429;no_class_defined_in_mainclasses.txt
2268;926-63-6;N,N-Dimethyl propyl amine;;;
2272;931-88-4;Cyclooctene <Isomer not specified>;CYCLOOCTENE;116.142975;Alkene
2281;17455-13-9;18-Crown-6 (18C6);;;
2285;1589-47-5;2-Methoxy-1-propanol;2-METHOXY_PROPANOL-1;96.1991;no_class_defined_in_mainclasses.txt
2289;624-16-8;4-Decanone;;;
2290;547-64-8;Methyl lactate;METHYL_LACTATE;83.0126875;no_class_defined_in_mainclasses.txt
2291;97-64-3;Ethyl lactate;ETHYL_LACTATE;86.64486667;no_class_defined_in_mainclasses.txt
2293;76-09-5;2,3-Dimethyl-2,3-butanediol;;;
2294;470-82-6;1,8-Cineole;1,8-Cineole;113.8764909;Alcohol
2295;4516-69-2;1,1,3-Trimethylcyclopentane;1,1,3-TRIMETHYLCYCLOPENTANE;115.7023;Alkane
2296;96-34-4;Methyl chloroacetate;METHYL_CHLOROACETATE;89.61441667;no_class_defined_in_mainclasses.txt
2307;97-62-1;Ethyl isobutyrate;ETHYL_ISOBUTYRATE;97.5675;Ester
2317;540-42-1;Isobutyl propionate;;;
2319;97-85-8;Isobutyl isobutyrate;ISOBUTYL_ISOBUTYRATE;101.19446;Ester
2325;105-68-0;Isoamyl propionate;Isoamyl_propionate;101.19446;Other
2326;106-27-4;Isoamyl butyrate;;;
2331;104-57-4;Benzyl formate;BENZYL_FORMATE;102.25208;Ester
2341;98-55-5;p-Menth-1-en-8-ol;;;
2343;79-05-0;Propionamide;;;
2344;99-85-4;.gamma.-Terpinene;GAMMA-TERPINENE;116.40738;Alkene
2345;103-36-6;(cis/trans)-Ethyl cinnamate;;;
2347;89-83-8;Thymol;;;
2351;106-37-6;p-Dibromobenzene;;;
2357;541-31-1;3-Methyl-1-butanethiol;;;
2360;93-15-2;4-Allyl-1,2-dimethoxybenzene;;;
2365;94-70-2;o-Phenetidine;;;
2367;814-78-8;Methyl isopropenyl ketone;METHYL_ISOPROPENYL_KETONE;95.45745;Carbonyl
2368;104-93-8;4-Methoxy-toluene;;;
2375;21368-68-3;DL-Camphor;;;
2378;79-08-3;Bromoacetic acid;;;
2381;2807-30-9;Ethylene glycol monopropyl ether;ETHYLENE_GLYCOL_MONOPROPYL_ETHER;98.637;no_class_defined_in_mainclasses.txt
2382;542-59-6;Glycol monoacetate;Glycol_monoacetate;83.0126875;Alcohol
2384;4435-53-4;3-Methoxy-butyl acetate;;;
2385;6915-15-7;DL-Malic acid;MALIC_ACID;65.76025833;no_class_defined_in_mainclasses.txt
2386;100-83-4;3-Hydroxybenzaldehyde;;;
2387;123-08-0;4-Hydroxybenzaldehyde;P-HYDROXYBENZALDEHYDE;92.61662;no_class_defined_in_mainclasses.txt
2393;811-97-2;1,1,1,2-Tetrafluoroethane [R134a];1,1,1,2-TETRAFLUOROETHANE;73.8553;HalogenatedHydrocarbon
2394;7787-71-5;Bromine trifluoride;;;
2395;97-87-0;Butyl isobutyrate;;;
2397;7154-80-5;3,3,5-Trimethylheptane;3,3,5-TRIMETHYLHEPTANE;115.7023;Alkane
2406;123-95-5;n-Butyl octadecanoate;N-BUTYL_STEARATE;109.6573667;Ester
2422;7783-81-5;Uranium hexafluoride;;;
2423;7790-91-2;Chlorine trifluoride;Chlorine_trifluoride;65.7622;HalogenatedHydrocarbon
2425;7446-70-0;Aluminum chloride;;;
2431;51-79-6;Ethyl carbamate <Urethane>;;;
2433;499-75-2;Carvacrol;;;
2446;2021-28-5;Ethyl 3-phenylpropionate;;;
2451;919-94-8;Ethyl tert-amyl ether;ETHYL_TERT-PENTYL_ETHER;113.1918125;Ether
2452;504-03-0;2,6-Dimethylpiperidine;;;
2465;104-54-1;Cinnamic alcohol;;;
2467;622-08-2;Ethylene glycol monobenzyl ether;;;
2472;106-30-9;Ethyl heptanoate;;;
2473;123-29-5;Nonanoic acid ethyl ester;ETHYL-NONANOATE;104.5424231;Ester
2475;107-11-9;3-Amino-1-propene;ALLYLAMINE;108.0773667;no_class_defined_in_mainclasses.txt
2476;106-73-0;Methyl heptanoate;Methyl_heptanoate;101.19446;Other
2477;123-76-2;Levulinic acid;LEVULINIC_ACID;74.98813333;no_class_defined_in_mainclasses.txt
2481;637-78-5;Isopropyl propionate;Isopropyl_propionate;97.5675;Other
2485;1717-00-6;1,1-Dichloro-1-fluoroethane [R141b];1,1-DICHLORO-1-FLUOROETHANE;98.56864;HalogenatedHydrocarbon
2487;1806-54-8;Trioctyl phosphate;;;
2491;589-35-5;3-Methyl-1-pentanol;3-METHYL-1-PENTANOL;101.1474875;Alcohol
2492;626-89-1;4-Methyl-1-pentanol;;;
2494;624-95-3;3,3-Dimethyl-1-butanol;;;
2499;95-64-7;3,4-Dimethylaniline;;;
2504;110-96-3;Diisobutylamine;DIISOBUTYLAMINE;108.22794;Amine
2506;150-19-6;3-Methoxyphenol;;;
2518;2037-26-5;Octadeuterotoluene;;;
2520;569-41-5;1,8-Dimethylnaphthalene;;;
2527;2131-41-1;1,4,5-Trimethylnaphthalene;;;
2537;99-49-0;Carvone <Mixture of isomers>;;;
2568;589-91-3;4-Methylcyclohexanol <Isomer not specified>;;;
2574;645-56-7;4-Propylphenol;;;
2575;88-69-7;2-Isopropylphenol;;;
2577;527-60-6;2,4,6-Trimethylphenol;2,4,6-Trimethylphenol;106.0784545;Alcohol
2578;1638-22-8;4-Butylphenol;;;
2587;94-96-2;2-Ethyl-1,3-hexanediol;;;
2593;922-63-4;2-Ethylpropenal;;;
2594;529-20-4;o-Tolylaldehyde;O-TOLUALDEHYDE;102.9891556;Carbonyl
2601;122-57-6;4-Phenyl-3-buten-2-one;;;
2602;693-54-9;2-Decanone;;;
2610;118-90-1;o-Toluic acid;O-TOLUIC_ACID;94.71531818;Acids
2611;99-04-7;m-Toluic acid;M-TOLUIC_ACID;94.71531818;Acids
2612;99-94-5;p-Toluic acid;P-TOLUIC_ACID;94.71531818;Acids
2628;60-33-3;Linoleic acid;LINOLEIC_ACID;104.5412429;no_class_defined_in_mainclasses.txt
2631;115702-75-5;Tripropylene glycol dibutyl ether;;;
2641;97-86-9;Isobutyl methacrylate;ISOBUTYL_METHACRYLATE;101.547;Ester
2658;5162-44-7;4-Bromo-1-butene;;;
2661;2051-61-8;3-Chlorobiphenyl;3-CHLOROBIPHENYL(PCB_2);116.4487231;Aromatics
2664;124-02-7;Diallyl amine;DIALLYLAMINE;107.2407;no_class_defined_in_mainclasses.txt
2667;123-82-0;2-Aminoheptane;;;
2676;104-75-6;1-Amino-2-ethylhexane;;;
2689;102-70-5;Triallyl amine;TRIALLYLAMINE;106.7387;no_class_defined_in_mainclasses.txt
2746;542-54-1;4-Methylpentanenitrile;;;
2748;645-59-0;3-Phenylpropionitrile;;;
2754;103-70-8;N-Phenylformamide;FORMANILIDE;96.78611;Amide
2770;102-09-0;Diphenyl carbonate;;;
2773;634-66-2;1,2,3,4-Tetrachlorobenzene;1,2,3,4-TETRACHLOROBENZENE;112.18036;Aromatics
2779;34883-39-1;2,5-Dichlorobiphenyl;2,5-DICHLOROBIPHENYL(PCB_9);115.5776286;Aromatics
2818;78-88-6;2,3-Dichloropropene;2,3-DICHLOROPROPENE;111.82782;no_class_defined_in_mainclasses.txt
2820;95-94-3;1,2,4,5-Tetrachlorobenzene;;;
2824;112-26-5;1,8-Dichloro-3,6-dioxaoctane;;;
2840;1739-84-0;1,2-Dimethyl imidazole;;;
2843;598-99-2;Methyl trichloroacetate;;;
2845;112-15-2;Diethylene glycol monoethyl ether acetate;DIETHYLENE_GLYCOL_ETHYL_ETHER_ACETATE;100.2651167;no_class_defined_in_mainclasses.txt
2850;766-51-8;Methoxy 2-chlorobenzene;;;
2851;2845-89-8;Methoxy 3-chlorobenzene;;;
2852;578-57-4;2-Bromoanisole;;;
2855;124-17-4;Diethylene glycol monobutyl ether acetate;DIETHYLENE_GLYCOL_MONOBUTYL_ETHER_ACETATE;102.4704286;no_class_defined_in_mainclasses.txt
2867;591-23-1;3-Methylcyclohexanol <Isomer not specified>;;;
2874;589-90-2;1,4-Dimethylcyclohexane <Isomer not specified>;;;
2881;108-82-7;2,6-Dimethyl-4-heptanol;2,6-DIMETHYL-4-HEPTANOL;105.1169818;Alcohol
2882;2430-22-0;7-Methyl-1-octanol;;;
2883;89-72-5;2-sec-Butylphenol;;;
2886;111-40-0;Diethylenetriamine;DIETHYLENETRIAMINE;101.2611667;Amine
2887;3445-11-2;N-(2-Hydroxyethyl)-2-pyrrolidone;;;
2888;52788-79-1;Diethylene glycol tert-butyl methyl ether;;;
2890;88917-22-0;Dipropylene glycol methyl ether acetate;DIPROPYLENE_GLYCOL_MONOMETHYL_ETHER_ACETATE;101.4525923;no_class_defined_in_mainclasses.txt
2891;122-99-6;2-Phenoxy-ethanol;;;
2892;112-25-4;Ethylene glycol monohexyl ether;2-HEXOXYETHANOL;103.2911727;no_class_defined_in_mainclasses.txt
2895;29387-86-8;Propylene glycol monobutyl ether (Isomer not specified);;;
2896;30136-13-1;Propylene glycol mono-n-propyl ether <Isomer not specified>;;;
2897;1623-05-8;Perfluoro (propyl vinyl) ether;;;
2901;630-01-3;Hexacosane;N-HEXACOSANE;115.7023;Alkane
2909;7787-20-4;(-)-Fenchone;;;
2925;7601-90-3;Perchloric acid;Perchloric_acid;31.00913333;Acids
2929;558-30-5;2,2-Dimethyloxirane;1,2-EPOXY-2-METHYLPROPANE;111.68552;Epoxy
2938;355-25-9;Perfluorobutane;DECAFLUOROBUTANE;70.86622857;HalogenatedHydrocarbon
2939;150-76-5;p-Methoxyphenol;P-METHOXYPHENOL;103.10768;no_class_defined_in_mainclasses.txt
2940;99-76-3;Methyl p-hydroxybenzoate;METHYL-P-HYDROXYBENZOATE;94.790575;no_class_defined_in_mainclasses.txt
2941;120-47-8;Ethyl p-hydroxybenzoate;ETHYL-4-HYDROXYBENZOATE;96.39916923;no_class_defined_in_mainclasses.txt
2945;591-27-5;3-Hydroxyaniline;;;
2947;82-68-8;Pentachloronitrobenzene;;;
2960;87-86-5;Pentachlorophenol;;;
2967;109-70-6;1-Bromo-3-chloropropane;;;
2968;345-35-7;o-Fluorobenzylchloride;;;
2969;456-42-8;m-Fluorobenzylchloride;;;
2970;112-48-1;Ethylene glycol di-n-butyl ether;;;
2971;112-59-4;Diethylene glycol n-hexyl ether;2-(2-HEXOXYETHOXY)ETHANOL;104.5161357;no_class_defined_in_mainclasses.txt
2978;122-80-5;p-Aminoacetanilide;;;
2992;2162-98-3;1,10-Dichlorodecane;;;
3013;111-24-0;1,5-Dibromopentane;;;
